Země,Zlato,Stříbro,Bronz
Spojené státy americké,46,37,38
Spojené království,27,23,17
Čína,26,18,26
Rusko,19,18,19
Německo,17,10,15
Japonsko,12,8,21
Francie,10,18,14
Jižní Korea,9,3,9
Itálie,8,12,8
Austrálie,8,11,10
Nizozemsko,8,7,4
Maďarsko,8,3,4
Brazílie,7,6,6
Španělsko,7,4,6
Keňa,6,6,1
Jamajka,6,3,2
Chorvatsko,5,3,2
Kuba,5,2,4
Nový Zéland,4,9,5
Kanada,4,3,15
Uzbekistán,4,2,7
Kazachstán,3,5,9
Kolumbie,3,2,3
Švýcarsko,3,2,2
Irán,3,1,4
Řecko,3,1,2
Argentina,3,1,0
Dánsko,2,6,7
Švédsko,2,6,3
Jihoafrická republika,2,6,2
Ukrajina,2,5,4
Srbsko,2,4,2
Polsko,2,3,6
Severní Korea,2,3,2
Belgie,2,2,2
Thajsko,2,2,2
Slovensko,2,2,0
Gruzie,2,1,4
Ázerbájdžán,1,7,10
Bělorusko,1,4,4
Turecko,1,3,4
Arménie,1,3,0
Česko,1,2,7
Etiopie,1,2,5
Slovinsko,1,2,1
Indonésie,1,2,0
Rumunsko,1,1,3
Bahrajn,1,1,0
Vietnam,1,1,0
Tchaj-wan,1,0,2
Bahamy,1,0,1
Pobřeží slonoviny,1,0,1
Individuální olympijští atleti,1,0,1
Fidži,1,0,0
Jordánsko,1,0,0
Kosovská republika|Kosovo,1,0,0
Portoriko,1,0,0
Singapur,1,0,0
Tádžikistán,1,0,0
Malajsie,0,4,1
Mexiko,0,3,2
Alžírsko,0,2,0
Irsko,0,2,0
Litva,0,1,3
Bulharsko,0,1,2
Venezuela,0,1,2
Indie,0,1,1
Mongolsko,0,1,1
Burundi,0,1,0
Grenada,0,1,0
Niger,0,1,0
Filipíny,0,1,0
Katar,0,1,0
Norsko,0,0,4
Egypt,0,0,3
Tunisko,0,0,3
Izrael,0,0,2
Rakousko,0,0,1
Dominikánská republika,0,0,1
Estonsko,0,0,1
Finsko,0,0,1
Maroko,0,0,1
Moldavsko,0,0,1
Nigérie,0,0,1
Portugalsko,0,0,1
Trinidad a Tobago,0,0,1
Spojené arabské emiráty,0,0,1
